,Powierzchnia,Liczba pokoi,Rynek,Rodzaj zabudowy,Piętro,Liczba pięter,Materiał budynku,Ogrzewanie,Rok budowy,Stan wykończenia,Forma własności,Okna,Czynsz,Dostępne od,Cena
1757,54.33,2,pierwotny,apartamentowiec,1,4,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,,,315114.0
1758,85.01,3,pierwotny,apartamentowiec,1,4,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,,,493058.0
1759,52.42,2,pierwotny,apartamentowiec,1,4,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,,,304036.0
1760,75.56,3,pierwotny,apartamentowiec,4,4,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,,,521364.0
1761,54.46,2,pierwotny,apartamentowiec,4,4,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,,,381220.0
1762,82.39,3,pierwotny,apartamentowiec,4,3,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,,,560252.0
1763,36.62,2,pierwotny,blok,7,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,234368.0
1764,88.22,4,pierwotny,apartamentowiec,1,4,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,,,511676.0
1765,49.14,3,pierwotny,blok,2,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,280611.0
1766,37.11,2,pierwotny,blok,7,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,237504.0
1767,35.93,2,pierwotny,blok,3,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,229952.0
1768,48.38,3,pierwotny,blok,2,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,275766.0
1769,41.40,2,pierwotny,blok,3,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,244260.0
1770,44.64,3,pierwotny,blok,9,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,258912.0
1771,49.14,3,pierwotny,blok,5,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,280098.0
1772,40.07,2,pierwotny,blok,8,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,256448.0
1773,39.40,2,pierwotny,blok,7,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,252160.0
1774,38.50,2,pierwotny,blok,4,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,238700.0
1775,50.80,3,pierwotny,blok,10,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,294640.0
1776,59,3,pierwotny,blok,8,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,377600.0
1777,41.30,2,pierwotny,blok,1,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,239540.0
1778,48.37,3,pierwotny,blok,1,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,275709.0
1779,38.72,2,pierwotny,blok,3,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,240064.0
1780,49.53,3,pierwotny,blok,8,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,287274.0
1781,40.17,2,pierwotny,blok,5,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,249054.0
1782,44.79,3,pierwotny,blok,2,10,wielka płyta,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,259782.0
1783,71,3,wtórny,szeregowiec,1,2,cegła,gazowe,2013,do zamieszkania,pełna własność,drewniane,,2019-01-01,399000.0
1784,40.30,2,pierwotny,apartamentowiec,3,8,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,318370.0
1785,53.83,3,pierwotny,apartamentowiec,0,8,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,411800.0
1786,38.16,2,pierwotny,apartamentowiec,0,8,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,299556.0
1787,40.46,2,pierwotny,apartamentowiec,0,8,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,317611.0
1788,39.37,2,pierwotny,apartamentowiec,0,8,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,309054.0
1789,46.02,2,pierwotny,apartamentowiec,1,8,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,333645.0
1790,40.66,2,pierwotny,apartamentowiec,2,8,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,313082.0
1791,46.38,2,pierwotny,apartamentowiec,5,5,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,301470.0
1792,135,5,wtórny,kamienica,1,4,,,,,,,,,550000.0
1793,46.38,2,pierwotny,apartamentowiec,4,5,pustak,miejskie,2018,do wykończenia,pełna własność,plastikowe,,,292194.0
1794,46.91,2,pierwotny,apartamentowiec,5,5,pustak,miejskie,2018,do wykończenia,pełna własność,plastikowe,,,300224.0
1795,45.22,2,pierwotny,apartamentowiec,5,5,pustak,miejskie,2018,do wykończenia,pełna własność,plastikowe,,,298452.0
1796,70.24,3,pierwotny,apartamentowiec,2,5,pustak,miejskie,2018,do wykończenia,pełna własność,plastikowe,,,421440.0
1797,40.17,2,pierwotny,apartamentowiec,6,10,,miejskie,,do wykończenia,,plastikowe,,,249054.0
1798,49.14,3,pierwotny,apartamentowiec,6,10,,miejskie,,do wykończenia,,plastikowe,,,280098.0
1799,41.32,2,pierwotny,apartamentowiec,6,10,,miejskie,,do wykończenia,,plastikowe,,,243788.0
1800,38.59,2,pierwotny,apartamentowiec,6,10,,miejskie,,do wykończenia,,plastikowe,,,239258.0
1801,30,1,wtórny,blok,7,9,wielka płyta,miejskie,1966,do remontu,,,,,169000.0
1802,135,7,wtórny,,1,4,inne,miejskie,,do remontu,pełna własność,drewniane,,,540000.0
1803,95,3,wtórny,,1,,,gazowe,,,,drewniane,,,529000.0
1804,200,8,wtórny,kamienica,3,5,inne,miejskie,1920,do remontu,pełna własność,drewniane,600,,699000.0
1805,44.79,3,pierwotny,apartamentowiec,1,10,,miejskie,2019,do wykończenia,,,,,259782.0
1806,57.33,3,pierwotny,apartamentowiec,8,8,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,429975.0
1807,46.38,2,pierwotny,apartamentowiec,5,5,,miejskie,2019,do wykończenia,,plastikowe,,,301470.0
1808,50.94,2,pierwotny,apartamentowiec,0,5,,miejskie,2018,do zamieszkania,pełna własność,plastikowe,,,292905.0
1809,32.29,1,wtórny,kamienica,1,3,,,,do zamieszkania,,plastikowe,,,290222.0
1810,40.46,2,pierwotny,apartamentowiec,6,8,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,297381.0
1811,46.02,2,pierwotny,apartamentowiec,0,8,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,342849.0
1812,58.33,3,pierwotny,apartamentowiec,3,8,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,463723.5
1813,34,1,wtórny,,0,,,,,do zamieszkania,,,,,175000.0
1814,105,3,pierwotny,apartamentowiec,1,1,,inne,,do wykończenia,pełna własność,,,,650000.0
1815,59,3,wtórny,blok,10,13,wielka płyta,miejskie,1970,do zamieszkania,,,,,370000.0
1816,47,3,wtórny,kamienica,2,3,cegła,inne,,do zamieszkania,,plastikowe,,,139999.0
1817,51,2,wtórny,kamienica,0,4,cegła,elektryczne,1910,do zamieszkania,pełna własność,drewniane,470,,265000.0
1818,53.55,2,wtórny,,0,3,,,,,,,,,257040.0
1819,40,2,wtórny,,2,2,,,,,pełna własność,,,,295000.0
1820,71.51,3,pierwotny,apartamentowiec,3,4,,miejskie,2019,do wykończenia,,plastikowe,,,468963.0
1821,46.61,2,pierwotny,,2,5,,miejskie,,,pełna własność,plastikowe,,,258500.0
1822,72,3,pierwotny,apartamentowiec,0,5,,miejskie,,,pełna własność,plastikowe,,,394200.0
1823,62.60,3,pierwotny,apartamentowiec,1,5,,miejskie,,,pełna własność,plastikowe,,,337500.0
1824,51.42,2,pierwotny,apartamentowiec,0,5,,miejskie,,,pełna własność,plastikowe,,,277500.0
1825,127,4,wtórny,apartamentowiec,4,4,cegła,miejskie,2008,do zamieszkania,pełna własność,plastikowe,725,,1150000.0
1826,46,2,pierwotny,apartamentowiec,1,5,,miejskie,,,pełna własność,,,,259000.0
1827,91,4,pierwotny,apartamentowiec,3,5,,miejskie,,,pełna własność,plastikowe,,,499500.0
1828,50,2,pierwotny,apartamentowiec,1,5,,miejskie,,,pełna własność,,,,283000.0
1829,50,2,pierwotny,apartamentowiec,1,5,,miejskie,,,pełna własność,,,,283000.0
1830,43,2,wtórny,apartamentowiec,2,2,pustak,miejskie,2012,do zamieszkania,pełna własność,plastikowe,300,,295000.0
1831,81,3,wtórny,apartamentowiec,2,12,,miejskie,2015,do zamieszkania,pełna własność,plastikowe,,,655000.0
1832,52,2,wtórny,blok,0,3,,miejskie,1973,do zamieszkania,pełna własność,plastikowe,450,,275000.0
1833,52,2,wtórny,kamienica,1,1,cegła,elektryczne,1955,do remontu,pełna własność,drewniane,300,,129000.0
1834,89,4,pierwotny,apartamentowiec,0,2,,miejskie,,do wykończenia,pełna własność,,,,573760.0
1835,70,2,wtórny,kamienica,3,3,cegła,miejskie,,,pełna własność,plastikowe,510,,349000.0
1836,33,4,pierwotny,,3,,,miejskie,,,pełna własność,,,,219000.0
1837,80,4,wtórny,apartamentowiec,10,11,,miejskie,,,,plastikowe,,,840000.0
1838,51.42,2,pierwotny,apartamentowiec,0,5,,miejskie,,,pełna własność,plastikowe,,,277500.0
1839,62.60,3,pierwotny,apartamentowiec,1,5,,miejskie,,,pełna własność,plastikowe,,,337500.0
1840,72,3,pierwotny,apartamentowiec,0,5,,miejskie,,,pełna własność,plastikowe,,,394200.0
